imagen,split,clase,detecciones,confianza_maxima,proporcion_mascara,estado,error
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_010111bd.jpg,Test,Blackspot,1,0.042493,0.707564,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_014ad8e8.jpg,Test,Blackspot,1,0.042724,0.616902,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_0463617e.jpg,Test,Blackspot,1,0.043254,0.610828,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_0516e1d9.jpg,Test,Blackspot,1,0.050491,0.656644,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_061bff07.jpg,Test,Blackspot,1,0.03876,0.66622,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_071a5b86.jpg,Test,Blackspot,1,0.04279,0.614406,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_075d53e7.jpg,Test,Blackspot,1,0.043379,0.662591,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_082eed76.jpg,Test,Blackspot,1,0.040341,0.647931,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_0ec5c839.jpg,Test,Blackspot,1,0.050267,0.614361,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_118f84b4.jpg,Test,Blackspot,1,0.048072,0.612927,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_11e435a5.jpg,Test,Blackspot,1,0.049517,0.635413,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_13d7dd1b.jpg,Test,Blackspot,1,0.03913,0.665886,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_160828bd.jpg,Test,Blackspot,1,0.050612,0.684591,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_16a59075.jpg,Test,Blackspot,2,0.041909,0.598566,REVISAR,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_16a9575e.jpg,Test,Blackspot,1,0.03735,0.65757,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_1970a8c7.jpg,Test,Blackspot,1,0.040015,0.651934,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_1a5300ec.jpg,Test,Blackspot,1,0.043964,0.694111,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_1a559fff.jpg,Test,Blackspot,1,0.050326,0.578573,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_1b108dd3.jpg,Test,Blackspot,1,0.047491,0.670181,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_1b123ad9.jpg,Test,Blackspot,1,0.036589,0.708909,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_1c60bce1.jpg,Test,Blackspot,1,0.038054,0.632645,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_1da07cc3.jpg,Test,Blackspot,1,0.040394,0.638537,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_1f462ec9.jpg,Test,Blackspot,1,0.042725,0.629062,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_225872a0.jpg,Test,Blackspot,1,0.043122,0.581428,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_242c34cb.jpg,Test,Blackspot,1,0.047508,0.639669,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_2a9d6067.jpg,Test,Blackspot,1,0.043792,0.643967,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_2c11014a.jpg,Test,Blackspot,1,0.042312,0.595592,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_2c6afe6c.jpg,Test,Blackspot,1,0.040334,0.675733,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_30e1c818.jpg,Test,Blackspot,1,0.045075,0.607873,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_3154dc71.jpg,Test,Blackspot,1,0.046949,0.670048,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_360743f0.jpg,Test,Blackspot,1,0.03709,0.634489,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_36ea84b1.jpg,Test,Blackspot,1,0.041487,0.602364,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_3b39353d.jpg,Test,Blackspot,1,0.037284,0.619583,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_3e5b077a.jpg,Test,Blackspot,1,0.043914,0.694139,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_4118efa9.jpg,Test,Blackspot,1,0.037711,0.604903,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_42f748c8.jpg,Test,Blackspot,1,0.051695,0.576216,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_435006cc.jpg,Test,Blackspot,1,0.040143,0.65187,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_4c58a905.jpg,Test,Blackspot,1,0.043343,0.603398,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_4e743d73.jpg,Test,Blackspot,1,0.038288,0.710742,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_4ea3f8de.jpg,Test,Blackspot,1,0.048312,0.572073,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_4ebb5946.jpg,Test,Blackspot,1,0.038206,0.6919,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_4ee45b9b.jpg,Test,Blackspot,1,0.03213,0.689314,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_4f5345e7.jpg,Test,Blackspot,1,0.048267,0.653989,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_4f9549ff.jpg,Test,Blackspot,1,0.045832,0.648255,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_51bf0569.jpg,Test,Blackspot,1,0.040514,0.653813,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_548ce704.jpg,Test,Blackspot,1,0.041567,0.663269,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_55ad0a6b.jpg,Test,Blackspot,1,0.04172,0.654352,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_572940ec.jpg,Test,Blackspot,1,0.037773,0.62045,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_57ef64be.jpg,Test,Blackspot,1,0.034345,0.662088,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_5d8796c8.jpg,Test,Blackspot,1,0.04583,0.617827,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_5eee8c8e.jpg,Test,Blackspot,1,0.056188,0.633716,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_614e5bf7.jpg,Test,Blackspot,1,0.048433,0.604242,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_628a5b45.jpg,Test,Blackspot,1,0.03709,0.703895,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_653d1eeb.jpg,Test,Blackspot,2,0.035823,0.715833,REVISAR,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_67189c07.jpg,Test,Blackspot,1,0.042974,0.621403,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_6afbd509.jpg,Test,Blackspot,2,0.048486,0.634153,REVISAR,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_6c40865f.jpg,Test,Blackspot,1,0.039933,0.64153,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_6d6c107d.jpg,Test,Blackspot,1,0.048564,0.607852,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_6f626d5d.jpg,Test,Blackspot,1,0.037235,0.715909,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_6fc2f193.jpg,Test,Blackspot,1,0.028953,0.643381,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_709173f4.jpg,Test,Blackspot,1,0.047314,0.642689,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_712a896a.jpg,Test,Blackspot,1,0.03914,0.677234,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_720d4386.jpg,Test,Blackspot,1,0.046705,0.635039,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_72dda609.jpg,Test,Blackspot,1,0.039364,0.654619,OK,
C:\MachinL\ProyectoFinal\Clean_dataset\Test\Blackspot\Blackspot_75df994e.jpg,Test,Blackspot,1,0.043129,0.663423,OK,
